Facebook,facebook,Brand,Technology
YouTube,YouTube,Product,Technology
McDonald's,McDonalds,Brand,Dining
MTV,MTV,TV Show,MTV
Disney,Disney,Brand,Media
Red Bull,redbull,Brand,Food/Beverage
Oreo,Oreo,Product,Food/Beverage
Samsung Mobile,SamsungMobile,Brand,Technology
KFC (Kentucky Fried Chicken),kfc,Brand,Dining
Converse,Converse,Brand,Retail
PlayStation,PlayStation,Product,Technology
National Geographic,NatGeo,News,Travel Channel
Starbucks Coffee,Starbucks,Brand,Food/Beverage
Discovery Channel,Discovery,TV Show,Discovery Channel
Pepsi,pepsi,Brand,Food/Beverage
Walmart,Walmart,Brand,Retail
iTunes,AppleMusic,Product,Technology
Skype,Skype,Product,Technology
Windows Live Messenger,windowslive,Product,Technology
BlackBerry,BlackBerry,Brand,Technology
NESCAFÉ,NESCAFE,Brand,Food/Beverage
Instagram,instagram,Product,Technology
NBA,NBA,Sports Team,NBA
Angry Birds,AngryBirds,Product,
Subway,SUBWAY,Brand,Dining
Victoria's Secret,VictoriasSecret,Brand,Retail
Amazon.com,amazon,Brand,Technology
Nickelodeon,NickelodeonTV,TV Show,Nickelodeon
Pizza Hut,pizzahut,Brand,Dining
WWE,WWE,Sports Team,
Samsung Mobile USA,SamsungMobileUS,Product,Technology
adidas Originals,adidasoriginals,Product,Retail
Pringles,Pringles,Product,Food/Beverage
Intel,intel,Brand,Technology
Skittles,Skittles,Product,Food/Beverage
Dove,Dove,Brand,Retail
Monster Energy,MonsterEnergy,Brand,Food/Beverage
Xbox,Xbox,Product,Technology
Sony Ericsson,sonyxperia,Product,Technology
Target,Target,Brand,Retail
H&M,hm,Brand,Retail
EA SPORTS FIFA,EASPORTSFIFA,Game,Product
Nike,nikesportswear,Brand,Retail
History,HISTORY,TV Show,History
Levi's,GarethH,Brand,Retail
adidas Soccer,adidassoccer,Product,Retail
adidas Football,adidasfifawc,Product,Retail
Marvel,Marvel,Brand,Media
Microsoft Windows,Windows,Product,Technology
Adidas,adidasUS,Brand,Retail
Mozilla Firefox,firefox,Product,Technology
BMW ,BMWMotorsport,Brand,Automotive
Google,google,Brand,Technology
Google Chrome,googlechrome,Product,Technology
Louis Vuitton,LouisVuitton_US,Brand,Retail
CNN Breaking News,cnnbrk,News,World
CNN,CNN,News,U.S.
