i1,i2,i3,i4,i5,i6,i7,i8,i9
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,121
0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,0,17
0,0,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,21
0,0,0,0,0,0,0,0,226
0,0,0,0,0,0,0,0,23
0,0,0,0,0,0,0,0,24
0,0,0,0,0,0,0,0,25
0,0,0,0,0,0,0,0,26
0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,33
0,0,0,0,0,0,0,0,35
0,0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,41
0,0,0,0,0,0,0,0,45
0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,58
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,66
0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,79
0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,82
0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,1,4
0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,1,7
0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,10,2
0,0,0,0,0,0,0,10,3
0,0,0,0,0,0,0,10,7
0,0,0,0,0,0,0,11,0
0,0,0,0,0,0,0,11,5
0,0,0,0,0,0,0,11,7
0,0,0,0,0,0,0,12,0
0,0,0,0,0,0,0,12,1
0,0,0,0,0,0,0,12,6
0,0,0,0,0,0,0,125,24
0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0,13,2
0,0,0,0,0,0,0,13,3
0,0,0,0,0,0,0,13,4
0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,0,14,5
0,0,0,0,0,0,0,14,6
0,0,0,0,0,0,0,16,5
0,0,0,0,0,0,0,167,44
0,0,0,0,0,0,0,167,45
0,0,0,0,0,0,0,17,6
0,0,0,0,0,0,0,171,47
0,0,0,0,0,0,0,18,0
0,0,0,0,0,0,0,19,1
0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,2,10
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,2,3
0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,2,6
0,0,0,0,0,0,0,20,0
0,0,0,0,0,0,0,20,1
0,0,0,0,0,0,0,22,1
0,0,0,0,0,0,0,23,0
0,0,0,0,0,0,0,26,0
0,0,0,0,0,0,0,265,40
0,0,0,0,0,0,0,27,0
0,0,0,0,0,0,0,28,17
0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,3,2
0,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,3,4
0,0,0,0,0,0,0,31,4
0,0,0,0,0,0,0,32,21
0,0,0,0,0,0,0,33,0
0,0,0,0,0,0,0,33,17
0,0,0,0,0,0,0,33,23
0,0,0,0,0,0,0,35,0
0,0,0,0,0,0,0,35,3
0,0,0,0,0,0,0,36,1
0,0,0,0,0,0,0,36,6
0,0,0,0,0,0,0,38,68
0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,4,2
0,0,0,0,0,0,0,4,3
0,0,0,0,0,0,0,4,4
0,0,0,0,0,0,0,4,7
0,0,0,0,0,0,0,4,9
0,0,0,0,0,0,0,40,14
0,0,0,0,0,0,0,41,0
0,0,0,0,0,0,0,44,2
0,0,0,0,0,0,0,46,0
0,0,0,0,0,0,0,47,0
0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,5,3
0,0,0,0,0,0,0,5,4
0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,53,8
0,0,0,0,0,0,0,59,2
0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,6,2
0,0,0,0,0,0,0,6,23
0,0,0,0,0,0,0,6,3
0,0,0,0,0,0,0,6,5
0,0,0,0,0,0,0,6,9
0,0,0,0,0,0,0,673,182
0,0,0,0,0,0,0,68,25
0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,1
0,0,0,0,0,0,0,7,15
0,0,0,0,0,0,0,7,3
0,0,0,0,0,0,0,79,3
0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,8,1
0,0,0,0,0,0,0,8,2
0,0,0,0,0,0,0,8,4
0,0,0,0,0,0,0,8,5
0,0,0,0,0,0,0,80,33
0,0,0,0,0,0,0,82,3
0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,9,1
0,0,0,0,0,0,0,9,2
0,0,0,0,0,0,0,91,71
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,4
0,0,0,0,0,0,1,0,6
0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,2
0,0,0,0,0,0,1,1,3
0,0,0,0,0,0,1,1,4
0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,1,2,1
0,0,0,0,0,0,1,2,2
0,0,0,0,0,0,1,2,3
0,0,0,0,0,0,1,3,0
0,0,0,0,0,0,1,3,1
0,0,0,0,0,0,1,3,2
0,0,0,0,0,0,1,4,0
0,0,0,0,0,0,1,4,1
0,0,0,0,0,0,1,5,0
0,0,0,0,0,0,1,6,0
0,0,0,0,0,0,1,6,6
0,0,0,0,0,0,1,7,10
0,0,0,0,0,0,1,7,3
0,0,0,0,0,0,1,8,2
0,0,0,0,0,0,1,8,3
0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,10,0,1
0,0,0,0,0,0,10,2,0
0,0,0,0,0,0,10,3,0
0,0,0,0,0,0,10,3,1
0,0,0,0,0,0,10,7,4
0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,11,5,1
0,0,0,0,0,0,11,7,4
0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,12,0,1
0,0,0,0,0,0,12,1,0
0,0,0,0,0,0,12,6,1
0,0,0,0,0,0,125,28,6
0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,13,2,1
0,0,0,0,0,0,13,3,0
0,0,0,0,0,0,13,4,1
0,0,0,0,0,0,14,0,1
0,0,0,0,0,0,14,5,1
0,0,0,0,0,0,14,6,1
0,0,0,0,0,0,14,8,2
0,0,0,0,0,0,16,6,6
0,0,0,0,0,0,167,50,10
0,0,0,0,0,0,167,51,10
0,0,0,0,0,0,17,7,6
0,0,0,0,0,0,171,53,10
